9889	7664	
9887	7690	
9886	7741	
9883	7747	
9879	7781	
9877	7839	
9874	7843	
9873	8002	
9866	8011	
9864	8070	
9847	8075	
9845	8081	
9842	8102	
9838	8150	
9825	8161	
9823	8205	
9806	8234	
9798	8244	
9796	8321	
9779	8362	
9771	8402	
9766	8442	
9762	8486	
9752	8525	
9739	8548	
9721	8578	
9711	8581	
9707	8597	
9697	8624	
9688	8667	
9686	8685	
9682	8694	
9675	8700	
9662	8702	
9660	8717	
9655	8732	
9644	8763	
9627	8795	
9620	8798	
9610	8809	
9609	8837	
9591	8840	
9589	8841	
9587	8851	
9586	8869	
9584	8871	
9572	8882	
9563	8905	
9553	8941	
9534	8944	
9532	8948	
9528	8950	
9523	8969	
9519	8985	
9515	8989	
9504	9001	
9496	9020	
9494	9030	
9465	9036	
9464	9059	
9450	9073	
9448	9076	
9440	9111	
9438	9119	
9419	9121	
9418	9122	
9411	9128	
9409	9134	
9402	9143	
9396	9146	
9394	9186	
9357	9202	
9355	9211	
9336	9224	
9333	9235	
9323	9239	
9313	9279	
9283	9293	
9274	9299	
9261	9304	
9259	9306	
9244	9322	
9235	9348	
9234	9365	
9207	9380	
9178	9423	
9147	9432	
9130	9434	
9128	9441	
9120	9467	
9097	9503	
9067	9505	
9066	9506	
9055	9507	
9054	9538	
9028	9541	
9027	9546	
9025	9554	
9002	9571	
8978	9575	
8976	9580	
8961	9593	
8955	9598	
8948	9607	
8937	9608	
8934	9609	
8925	9620	
8916	9631	
8915	9636	
8884	9640	
8882	9653	
8877	9664	
8837	9668	
8832	9673	
8830	9681	
8815	9682	
8800	9683	
8799	9695	
8793	9706	
8788	9725	
8727	9750	
8724	9751	
8704	9759	
8696	9766	
8683	9767	
8680	9782	
8673	9785	
8652	9794	
8634	9808	
8622	9812	
8621	9817	
8606	9820	
8576	9822	
8574	9831	
8572	9836	
8547	9846	
8518	9851	
8480	9853	
8479	9887	
8438	9895	
8418	9906	
8363	9909	
8358	9916	
8354	9919	
8326	9924	
8324	9936	
8316	9941	
8293	9942	
8290	9945	
8280	9949	
8266	9954	
8250	9966	
8215	9968	
8195	9972	
8172	9981	
8134	9991	
8104	9995	
8083	9999	
8039	10012	
7972	10016	
7971	10017	
7970	10020	
7961	10025	
7915	10033	
7886	10034	
7870	10038	
7841	10042	
7834	10043	
7806	10045	
7791	10048	
7775	10062	
7701	10063	
7699	10066	
7680	10067	
7640	10072	
7600	10075	
7485	10076	
7478	10086	
7230	10088	
