9889	7664	
9887	7689	
9886	7741	
9883	7747	
9873	8002	
9866	8011	
9864	8070	
9847	8075	
9842	8102	
9838	8150	
9825	8161	
9823	8205	
9806	8234	
9796	8321	
9771	8402	
9762	8486	
9742	8501	
9741	8510	
9739	8548	
9721	8578	
9711	8581	
9707	8597	
9688	8634	
9675	8700	
9653	8730	
9644	8763	
9627	8795	
9612	8798	
9609	8837	
9591	8840	
9586	8869	
9572	8882	
9563	8905	
9548	8910	
9547	8926	
9526	8927	
9523	8936	
9521	8938	
9520	8940	
9519	8985	
9515	8989	
9494	9002	
9479	9016	
9463	9019	
9457	9057	
9441	9062	
9440	9111	
9438	9119	
9419	9121	
9411	9128	
9409	9134	
9396	9146	
9394	9186	
9357	9202	
9337	9211	
9333	9235	
9307	9264	
9283	9293	
9269	9296	
9261	9304	
9237	9309	
9234	9365	
9175	9370	
9165	9407	
9147	9432	
9130	9434	
9118	9437	
9116	9440	
9097	9503	
9067	9505	
9066	9506	
9055	9507	
9054	9538	
9020	9545	
9012	9552	
8999	9553	
8995	9560	
8975	9561	
8963	9565	
8961	9592	
8955	9598	
8937	9608	
8925	9620	
8916	9631	
8915	9636	
8882	9653	
8842	9654	
8830	9681	
8790	9683	
8788	9725	
8727	9750	
8704	9759	
8696	9766	
8683	9767	
8680	9782	
8673	9785	
8652	9794	
8634	9808	
8612	9809	
8606	9810	
8572	9836	
8539	9838	
8518	9851	
8480	9853	
8479	9887	
8438	9895	
8418	9906	
8363	9909	
8358	9916	
8354	9919	
8317	9925	
8302	9937	
8293	9942	
8290	9945	
8280	9949	
8266	9954	
8250	9966	
8210	9968	
8195	9972	
8171	9981	
8134	9991	
8104	9995	
8064	9999	
8039	10012	
7972	10016	
7971	10017	
7970	10020	
7879	10027	
7870	10038	
7841	10042	
7834	10043	
7806	10045	
7791	10048	
7775	10062	
7701	10063	
7680	10067	
7640	10072	
7546	10073	
7485	10076	
7478	10086	
7230	10088	
